,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,ID,dataType
LOC727761,-0.596456549,-0.0665344161,-0.9630369975,-0.6051243871,-0.7385638413,NA,L
LOC727762,0.4010450135,0.3664146944,0.6515350355,0.4297692266,0.0632718153,NA,L
LOC727768,0.7018321106,0.4516503162,1.2008593292,0.5712556415,0.7565177027,NA,L
LOC727773,-0.1064858139,-0.1730827841,-0.1814841777,-0.1886582404,-0.253596022,NA,L
LOC727803,0.5617345439,0.7750896309,-0.3778791244,0.4951446958,-0.153917679,NA,L
LOC727808,-0.097140341,-0.9278762865,-0.4175686474,-0.7391522986,-0.9484862306,NA,L
LOC727811,0.1937737407,0.0686610773,0.2659992713,0.3901483679,0.3822402459,NA,L
LOC727818,0.115172836,0.147953052,0.2139636619,-0.0273068884,0.2291662287,NA,L
LOC727820,0.150170866,0.3411058537,0.525171903,0.2257884254,0.2986021857,NA,L
LOC727821,0.1874323923,0.5521466089,0.9521179774,0.4165202954,0.9394025087,NA,L
LOC727826,0.3101016481,0.7142915532,0.7026490882,0.6958408777,0.6780269236,NA,L
LOC727848,-0.0647338755,-0.5212196225,-0.6448611993,-0.4083070109,-0.3845726694,NA,L
LOC727882,-0.0818019116,-0.6168056596,-1.5587428167,-1.4137670045,-1.4023043038,NA,L
LOC727901,0.3038533193,0.5985871433,0.1223935579,0.2839528412,0.3458056677,NA,L
LOC727908,-0.0648075727,-0.5299497543,-0.3289575679,-0.2866379396,-0.3775158616,NA,L
LOC727913,0.0758148154,0.1246382259,0.2229475537,0.0288233602,0.2192654364,NA,L
LOC727914,0.346063869,0.1372102582,0.494130264,0.2389869927,0.1404759419,NA,L
LOC727934,0.0426893955,0.0376385005,0.0077258999,0.381476339,0.1509178269,NA,L
LOC727963,-0.0623736965,0.173298617,0.2997290959,0.2776939143,0.304996004,NA,L
LOC727970,0.0644867252,0.4450748631,0.4831240097,0.38855123,0.2915073678,NA,L
LOC727984,0.1494078768,0.462994497,0.363700821,0.4105208475,0.6595940793,NA,L
LOC728006,0.3338214762,0.0916190118,-0.0844113973,0.3823342113,0.401343948,NA,L
LOC728012,0.0465191387,0.1058232228,0.474288531,0.101201559,0.0825849689,NA,L
LOC728014,-0.8650348739,-0.5606191513,0.2947960992,0.1414815236,0.5289189746,NA,L
LOC728024,0.0061695422,-0.1958332082,-0.4976823597,-0.0095498036,-0.4465623982,NA,L
LOC728026,0.170547929,0.7043551899,0.1389705337,-0.2659388324,-0.0192336017,NA,L
LOC728037,-0.3236171266,-0.0682818039,-0.8085046198,-0.2676328734,-0.1211360545,NA,L
LOC728059,0.1654019328,-0.0895277074,-0.6104911451,-0.3309352805,-0.686049621,NA,L
LOC728060,0.1909514225,0.3984400572,0.5024934984,0.6140664143,0.4877221988,NA,L
LOC728069,-0.3000384154,-0.0880644641,-0.4374384723,-0.3652690852,-0.1003243143,NA,L
LOC728089,0.029965526,0.2837735754,0.2836983821,0.9753963218,1.4106153718,NA,L
LOC728098,0.3768412278,0.4403393493,0.4436367267,0.4281011424,0.4354204395,NA,L
LOC728115,0.4419701535,-0.1039838263,-0.1471109781,-0.0812067223,-0.0806996222,NA,L
LOC728126,-0.150182284,-0.3587864072,-0.4948559998,-0.4037820073,-0.6927189779,NA,L
LOC728128,0.1792496556,0.1341095256,0.2725448334,0.3252750681,0.2779813549,NA,L
LOC728138,0.1595759773,0.8770217765,0.8845977458,0.5571329528,0.6995462442,NA,L
LOC728153,-0.8593814965,-0.7347332986,-0.9961692535,-0.9923564333,-1.2147456652,NA,L
LOC728188,1.1098933243,1.0473884759,0.6154515593,1.0320406782,0.6130796188,NA,L
LOC728211,-0.2809539822,-0.17786706,-0.354465537,-0.0689484535,-0.3482132072,NA,L
LOC728244,0.0599145851,0.4771088621,0.1691017617,0.2722272982,0.3524201152,NA,L
LOC728249,0.599160198,1.4887533228,1.3606725455,0.8981498342,0.508200107,NA,L
LOC728253,0.0961930137,0.0716268595,0.0863608239,0.7442494887,0.4781475431,NA,L
LOC728255,-3.0060295081,-3.1709300923,-2.8841889232,-3.0498643988,-3.0714567033,NA,L
LOC728285,-0.5689804964,-0.5612047412,-0.5955444207,-0.6554681036,-0.6100766389,NA,L
LOC728312,1.2507457131,0.7039354148,1.397504548,0.8991506257,1.0150404168,NA,L
LOC728324,0.636666049,1.1057505838,0.9704152832,1.112976739,0.6683049696,NA,L
LOC728368,-0.1720212997,-0.2794608921,-0.7621354943,-0.4722026204,-0.7751675587,NA,L
