GeneID,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,D1.adjPval,D3.adjPval,D6.adjPval,D10.adjPval,D14.adjPval
RBM10,-0.0506941985,0.307122323,0.0818402867,0.2842820211,0.2877768901,0.9569762918,0.2466519184,0.8224594825,0.2599935068,0.0365622621
RBM12,0.3330843331,0.2688212409,-0.7184441022,-0.7321440752,-0.6566853421,0.2282733724,0.3232532544,0.0035314655,0.003888074,0.0001584227
RBM12B,0.4822007522,0.0839112589,0.0871176179,-0.0244541121,-0.0706028481,0.0042000789,0.7292273175,0.6410231045,0.9310911735,0.4520274618
RBM14,0.2353526063,-0.1917914727,-0.7840450379,-0.7540838031,-0.691827329,0.403749946,0.4778881025,0.0009514555,0.0015220377,4.39265774452868E-05
RBM15,0.4974243557,0.712855616,0.7879339273,0.5084113761,0.4009842574,0.0405467684,0.004012803,0.0015158185,0.0257509887,0.0041007617
RBM15B,0.2009171971,-0.0798689378,-0.6167962914,0.0750279419,-0.1446882756,0.7045282119,0.895118375,0.0235496076,0.8763459894,0.4106446209
RBM17,-0.4571892616,-0.376875707,-0.5865739352,-0.4103239075,-0.5099421432,0.0507971969,0.092111688,0.0076291522,0.0583928779,0.0006009842
RBM22,-0.0327263823,-0.1905499246,-0.0983723637,-0.2658371081,-0.2192679186,0.9657432232,0.3825282457,0.6780032116,0.1462544723,0.0352471965
RBM23,-0.2374366166,-0.5105282649,-0.8213868382,-0.392014814,-0.549162632,0.2135079287,0.0042343972,0.0001101956,0.0184019534,3.74478895764511E-05
RBM25,-0.1783940427,-0.1403167117,-0.2899940054,-0.3864527418,-0.8716701865,0.7594135056,0.7787801723,0.3209447895,0.1810794607,7.45958703256791E-05
RBM27,-0.1026924566,0.0439635496,0.0008097085,0.0382090422,-0.1925964426,0.7165247429,0.8868137046,0.9979801883,0.880895165,0.0237382971
RBM3,-0.0080527934,-0.5792230151,-1.2662120808,-0.277146031,-1.0308225674,0.995380263,0.0214600576,8.75937471527104E-05,0.2878914486,5.76491210315344E-06
RBM33,0.208781744,-0.0798316991,0.8707341528,0.1957801987,0.1020591727,0.4829517451,0.8425716462,0.0003971916,0.3991277946,0.4344978794
RBM34,0.7077808204,0.5922049925,0.305280552,0.1505377299,0.3389676109,0.0004705759,0.0011757698,0.0416167902,0.3903245432,0.0010496882
RBM38,-0.0445993445,-0.2051970857,-0.2235651232,-0.2960755611,-0.2645114489,0.9518726847,0.3898521802,0.2597588072,0.1359880548,0.0210765291
RBM4,0.4245769312,-0.2304339252,-0.8105049684,-0.6491844308,-1.0066030682,0.2223291905,0.5804949239,0.0070531265,0.0294606393,3.4515912801698E-05
RBM42,-0.0652177531,0.0398832897,-0.7258630454,-0.0411238698,-0.0926631559,0.963909314,0.9628648204,0.0304289001,0.9530115793,0.7169219095
RBM45,-0.1403251955,-0.3281783083,-0.8451779057,-0.5806793569,-0.6877831645,0.8052835248,0.2334389572,0.0018693763,0.0219800811,0.0001825708
RBM46,0.0646590891,0.0857431447,0.3032046018,0.0325243605,0.0978096403,0.8834717498,0.7445669426,0.0426949752,0.9098026545,0.3001517643
RBM47,-0.5719963829,-0.5112079202,-0.5546598667,-0.6808497091,-0.2621843389,0.0022895202,0.0035611252,0.001517145,0.0004388539,0.0065476941
RBM4B,-0.1844882054,-0.3703500243,-0.1644982917,-0.2869754076,-0.3229940141,0.4746292081,0.0445117878,0.3961824149,0.112879544,0.0038813543
RBM5,-0.1140310678,-0.5042494387,0.0616908078,-0.4368387357,-0.3002324202,0.7063915211,0.0040111949,0.7914589611,0.0088091105,0.00282442
RBM6,-0.1990868743,-0.311212558,0.0294463965,-0.3551658774,-0.364013077,0.7161829687,0.3550426202,0.9558329934,0.2301863226,0.0268708932
RBM7,0.1216823921,0.3705529218,0.8447135447,0.4893775742,0.789144758,0.8743971152,0.2308687251,0.0040193474,0.0814719466,0.0001570372
RBM9,-0.2174991789,-0.6898238282,-0.4347318195,-0.7796255945,-0.870907702,0.4066834889,0.0018488263,0.0217311352,0.00071624,3.60382968504448E-06
RBMS1,0.088723563,-0.5993780774,0.7360713398,0.2323327984,0.3518753747,0.9390976816,0.0717737599,0.0200721015,0.5674560583,0.0584059612
RBMS2,-0.6457296018,-0.9050394163,-0.4834142481,-0.6797243305,-0.6516416022,0.0005349277,0.000029931,0.0020645031,0.0002297464,3.52338920563983E-06
RBMS2P,-0.429218532,-0.5016306694,-0.3803318881,-0.1489127161,-0.30733615,0.0605376917,0.0215962157,0.0596526903,0.5768094113,0.013800143
RBMS3,-0.8649120708,-0.9705678906,-0.774679019,-0.6831261507,-0.7743983088,0.0007903749,0.000247072,0.0008882213,0.0025779099,1.46983838003585E-05
RBMX,-0.1673284977,-0.0126436927,-0.8428031884,-0.4403916369,-0.2819408478,0.7187151694,0.9830509285,0.0014596818,0.0660801638,0.0410110948
RBP4,1.852647952,3.4198370785,4.1880367476,3.4282976333,3.7897907292,1.16211254474525E-06,4.64689329418178E-09,6.78223734142981E-10,3.75667532582988E-09,1.11670530043786E-11
RBPJ,-1.0078801669,-1.3005354302,-0.8708007045,-1.4652357641,-1.6186716808,0.0446785114,0.0086395847,0.0510711485,0.0037787689,2.90937314138302E-05
RBPMS,-0.6919042879,-0.6528654081,-0.5025819553,-0.9258731521,-0.5710421302,0.0163489368,0.0174209507,0.04700306,0.0018132425,0.0010854255
RBPMS2,-0.3401861217,-0.6669797721,-0.8984007599,-0.895134344,-0.9941771258,0.1049797482,0.0020435243,0.00018041,0.0002274006,1.01914333040239E-06
RC3H2,0.0496114776,-0.220662329,-0.8014798535,-0.4172209451,-0.6973181067,0.9671311157,0.5804632338,0.0058308254,0.1459090898,0.0004262602
RCADH5,-0.7597886866,-0.449090857,-0.6655599419,-0.5589266268,-0.585043206,0.0116468542,0.1135269617,0.0137706867,0.0409277952,0.0011590719
RCAN1,-3.7163496512,-3.5900426005,-1.8847731283,-3.2174919775,-2.8771725141,0.0036800789,0.0034407239,0.0753840722,0.0062445064,0.0002889284
